,Timestamp,Train ID,Scheduled,Actual time,Delay,Station,Dep/Arr,Category,Delay at Dep.,Trip time,Sched. trip time,12h Coldest Arrival,12h Rain max Arrival,12h Rain total Arrival,12h Snow depth Arrival,12h Coldest Dep,12h Rain max Dep,12h Rain total Dep,12h Snow depth Dep
0,2017-12-01 16:41:24,86,16:35:00,16:41:24,384,HKI,ARRIVAL,Long-distance,35,03:37:49,03:34:00,0.2,1.0,5.300000000000001,4.0,-1.5,1.0,5.9,4.0
1,2017-12-01 19:34:33,88,19:35:00,19:34:33,-27,HKI,ARRIVAL,Long-distance,3,03:39:36,03:34:00,0.2,1.0,4.599999999999999,4.0,-1.8,1.0,5.999999999999998,4.0
2,2017-12-01 09:00:03,140,08:54:00,09:00:03,363,HKI,ARRIVAL,Long-distance,27,04:26:09,03:41:00,0.4,0.6,3.0,0.0,-1.0,0.6,3.3,2.0
3,2017-12-01 12:41:35,142,11:54:00,12:41:35,2855,HKI,ARRIVAL,Long-distance,146,03:55:19,03:41:00,0.2,1.0,4.699999999999999,3.0,-1.3,1.0,4.799999999999999,3.0
4,2017-12-01 15:09:02,144,14:54:00,15:09:02,902,HKI,ARRIVAL,Long-distance,43,03:25:49,03:20:00,0.2,1.0,5.4,3.0,-1.5,1.0,5.8,3.0
5,2017-12-01 18:04:29,146,17:54:00,18:04:29,629,HKI,ARRIVAL,Long-distance,55,03:46:34,03:37:00,0.2,1.0,4.8999999999999995,4.0,-1.7,1.0,6.099999999999999,4.0
6,2017-12-01 20:58:56,148,20:54:00,20:58:56,296,HKI,ARRIVAL,Long-distance,280,03:21:30,03:22:00,0.2,1.0,4.2,4.0,-1.8,1.0,5.8,5.0
7,2017-12-01 07:58:31,150,07:54:00,07:58:31,271,HKI,ARRIVAL,Long-distance,42,03:34:16,03:34:00,0.4,0.5,1.9,0.0,-1.0,0.5,2.1999999999999997,2.0
8,2017-12-02 16:36:21,84,16:35:00,16:36:21,81,HKI,ARRIVAL,Long-distance,-16,03:39:33,03:34:00,-0.7,0.0,0.0,4.0,-3.4,0.1,0.4,7.0
9,2017-12-02 08:56:11,140,08:54:00,08:56:11,131,HKI,ARRIVAL,Long-distance,18,03:35:53,03:34:00,-0.7,0.1,0.4,4.0,-3.4,0.6,1.6,7.0
10,2017-12-02 11:59:29,142,11:54:00,11:59:29,329,HKI,ARRIVAL,Long-distance,39,03:45:50,03:41:00,-0.7,0.1,0.30000000000000004,4.0,-3.4,0.2,0.7,7.0
11,2017-12-02 15:00:47,144,14:54:00,15:00:47,407,HKI,ARRIVAL,Long-distance,797,03:34:30,03:41:00,-0.7,0.1,0.1,4.0,-3.4,0.1,0.5,7.0
12,2017-12-02 18:02:04,146,17:54:00,18:02:04,484,HKI,ARRIVAL,Long-distance,116,03:21:37,03:20:00,-0.7,0.0,0.0,4.0,-3.3,0.1,0.4,7.0
13,2017-12-02 21:10:31,148,20:54:00,21:10:31,991,HKI,ARRIVAL,Long-distance,227,03:43:08,03:37:00,0.5,0.0,0.0,4.0,-2.0,0.1,0.4,7.0
14,2017-12-02 08:00:28,150,07:54:00,08:00:28,388,HKI,ARRIVAL,Long-distance,55,03:46:44,03:34:00,-0.7,0.1,0.4,4.0,-3.4,0.6,1.6,7.0
15,2017-12-03 16:34:59,86,16:35:00,16:34:59,-1,HKI,ARRIVAL,Long-distance,44,03:36:28,03:41:00,5.0,0.8,4.5,0.0,0.5,0.8,8.7,6.0
16,2017-12-03 19:34:01,88,19:35:00,19:34:01,-59,HKI,ARRIVAL,Long-distance,-15,03:47:47,03:41:00,5.0,0.8,5.1,0.0,0.8,0.8,8.599999999999998,6.0
17,2017-12-03 11:53:17,142,11:54:00,11:53:17,-43,HKI,ARRIVAL,Long-distance,229,04:55:28,05:06:05,4.9,0.5,2.4999999999999996,0.0,0.1,0.8,5.499999999999999,6.0
18,2017-12-03 15:02:21,144,14:54:00,15:02:21,501,HKI,ARRIVAL,Long-distance,94,03:19:15,03:20:00,5.0,0.6,3.9999999999999996,0.0,0.5,0.8,8.099999999999998,6.0
19,2017-12-03 17:55:46,146,17:54:00,17:55:46,106,HKI,ARRIVAL,Long-distance,305,03:33:41,03:37:00,5.0,0.8,4.5,0.0,0.5,0.8,8.6,6.0
20,2017-12-03 20:54:12,148,20:54:00,20:54:12,12,HKI,ARRIVAL,Long-distance,-14,03:21:16,03:22:00,5.0,0.8,4.8,0.0,1.1,0.8,7.699999999999998,6.0
21,2017-12-03 22:59:10,152,22:35:00,22:59:10,1450,HKI,ARRIVAL,Long-distance,41,03:34:26,03:34:00,3.4,0.8,4.5,0.0,0.9,0.8,6.499999999999999,6.0
22,2017-12-03 16:51:04,72051,17:03:51,16:51:04,-767,HKI,ARRIVAL,Test drive,-130,03:32:29,03:09:00,5.0,0.8,4.5,0.0,0.5,0.8,8.7,6.0
23,2017-12-04 16:43:25,86,16:35:00,16:43:25,505,HKI,ARRIVAL,Long-distance,16,03:34:26,03:34:00,0.4,0.0,0.0,0.0,-1.5,0.0,0.0,4.0
24,2017-12-04 08:54:59,140,08:54:00,08:54:59,59,HKI,ARRIVAL,Long-distance,294,03:30:05,03:34:00,1.1,0.5,0.5,0.0,-0.4,0.5,0.5,4.0
25,2017-12-04 12:01:18,142,11:54:00,12:01:18,438,HKI,ARRIVAL,Long-distance,642,03:37:36,03:41:00,1.1,0.0,0.0,0.0,-0.6,0.0,0.0,4.0
26,2017-12-04 14:53:11,144,14:54:00,14:53:11,-49,HKI,ARRIVAL,Long-distance,29,03:39:42,03:41:00,0.7,0.0,0.0,0.0,-1.3,0.0,0.0,4.0
27,2017-12-04 17:57:33,146,17:54:00,17:57:33,213,HKI,ARRIVAL,Long-distance,121,03:28:09,03:20:00,0.4,0.0,0.0,0.0,-1.5,0.0,0.0,4.0
28,2017-12-04 20:57:33,148,20:54:00,20:57:33,213,HKI,ARRIVAL,Long-distance,-16,03:38:32,03:37:00,-0.2,0.0,0.0,0.0,-2.5,0.0,0.0,4.0
29,2017-12-04 07:54:48,150,07:54:00,07:54:48,48,HKI,ARRIVAL,Long-distance,22,03:37:49,03:34:00,1.1,0.5,0.7,0.0,-0.4,0.5,0.7,4.0
30,2017-12-05 16:49:57,86,16:35:00,16:49:57,897,HKI,ARRIVAL,Long-distance,-11,03:34:26,03:34:00,0.1,0.0,0.0,0.0,-4.6,0.0,0.0,4.0
31,2017-12-05 08:53:36,140,08:54:00,08:53:36,-24,HKI,ARRIVAL,Long-distance,27,03:33:09,03:34:00,-1.0,0.0,0.0,0.0,-3.1,0.0,0.0,4.0
32,2017-12-05 11:53:22,142,11:54:00,11:53:22,-38,HKI,ARRIVAL,Long-distance,0,03:40:22,03:41:00,-1.0,0.0,0.0,0.0,-3.6,0.0,0.0,4.0
33,2017-12-05 15:00:06,144,14:54:00,15:00:06,366,HKI,ARRIVAL,Long-distance,208,03:43:38,03:41:00,0.0,0.0,0.0,0.0,-4.6,0.0,0.0,4.0
34,2017-12-05 18:06:35,146,17:54:00,18:06:35,755,HKI,ARRIVAL,Long-distance,0,03:35:08,03:20:00,0.3,0.1,0.1,0.0,-4.6,0.1,0.1,4.0
35,2017-12-05 20:57:35,148,20:54:00,20:57:35,215,HKI,ARRIVAL,Long-distance,-4,03:49:35,03:37:00,-0.5,0.4,0.8,0.0,-4.6,0.4,0.8,4.0
36,2017-12-05 07:54:46,150,07:54:00,07:54:46,46,HKI,ARRIVAL,Long-distance,20,03:37:39,03:34:00,-1.0,0.0,0.0,0.0,-3.1,0.0,0.0,4.0
37,2017-12-06 16:43:16,84,16:35:00,16:43:16,496,HKI,ARRIVAL,Long-distance,94,03:36:45,03:34:00,-1.1,0.1,0.1,0.0,-3.5,0.1,0.1,4.0
38,2017-12-06 09:02:05,140,08:54:00,09:02:05,485,HKI,ARRIVAL,Long-distance,17,03:41:48,03:34:00,-1.8,0.1,0.1,0.0,-3.5,0.1,0.2,4.0
39,2017-12-06 11:56:25,142,11:54:00,11:56:25,145,HKI,ARRIVAL,Long-distance,-15,03:43:40,03:41:00,-1.8,0.1,0.1,0.0,-3.5,0.1,0.2,4.0
40,2017-12-06 15:02:56,144,14:54:00,15:02:56,536,HKI,ARRIVAL,Long-distance,81,03:48:35,03:41:00,-1.1,0.1,0.1,0.0,-3.5,0.1,0.1,4.0
41,2017-12-06 18:02:29,146,17:54:00,18:02:29,509,HKI,ARRIVAL,Long-distance,-6,03:26:42,03:20:00,-1.2,0.1,0.1,0.0,-3.5,0.1,0.1,4.0
42,2017-12-06 21:05:26,148,20:54:00,21:05:26,686,HKI,ARRIVAL,Long-distance,-17,03:45:35,03:37:00,-4.2,0.0,0.0,0.0,-4.2,0.0,0.0,4.0
43,2017-12-06 07:58:28,150,07:54:00,07:58:28,268,HKI,ARRIVAL,Long-distance,103,03:45:43,03:34:00,-1.8,0.3,0.4,0.0,-3.5,0.3,0.5,4.0
44,2017-12-07 16:40:25,86,16:35:00,16:40:25,325,HKI,ARRIVAL,Long-distance,41,03:44:57,03:34:00,-3.3,0.4,0.7,0.0,-4.6,0.4,0.7,4.0
45,2017-12-07 09:00:00,140,08:54:00,09:00:00,360,HKI,ARRIVAL,Long-distance,44,03:39:16,03:34:00,-5.1,0.0,0.0,0.0,-5.1,0.0,0.0,4.0
46,2017-12-07 11:53:51,142,11:54:00,11:53:51,-9,HKI,ARRIVAL,Long-distance,-11,03:41:02,03:41:00,-5.1,0.0,0.0,0.0,-5.1,0.0,0.0,4.0
47,2017-12-07 14:55:44,144,14:54:00,14:55:44,104,HKI,ARRIVAL,Long-distance,-2,03:42:46,03:41:00,-4.4,0.0,0.0,0.0,-4.6,0.0,0.0,4.0
48,2017-12-07 18:19:55,146,17:54:00,18:19:55,1555,HKI,ARRIVAL,Long-distance,-12,03:24:44,03:20:00,0.1,0.6,1.6,0.0,-4.6,0.6,2.0,4.0
49,2017-12-07 20:54:19,148,20:54:00,20:54:19,19,HKI,ARRIVAL,Long-distance,2,04:03:07,03:37:00,0.9,1.3,3.7,0.0,-4.3,1.3,5.700000000000001,5.0
50,2017-12-07 08:05:24,150,07:54:00,08:05:24,684,HKI,ARRIVAL,Long-distance,27,03:34:17,03:34:00,-5.1,0.0,0.0,0.0,-5.1,0.0,0.0,4.0
51,2017-12-08 16:50:02,86,16:35:00,16:50:02,902,HKI,ARRIVAL,Long-distance,61,03:40:16,03:34:00,4.7,1.0,3.1999999999999997,0.0,-1.7,1.0,7.699999999999998,17.0
52,2017-12-08 19:44:02,88,19:35:00,19:44:02,542,HKI,ARRIVAL,Long-distance,9,03:34:34,03:34:00,4.7,0.4,1.0,0.0,-0.6,0.6,4.0,17.0
53,2017-12-08 08:54:28,140,08:54:00,08:54:28,28,HKI,ARRIVAL,Long-distance,-6,03:40:38,03:41:00,2.6,1.3,10.000000000000002,0.0,-3.0,1.8,19.3,16.0
54,2017-12-08 11:53:56,142,11:54:00,11:53:56,-4,HKI,ARRIVAL,Long-distance,18,03:31:43,03:41:00,4.3,1.1,7.6000000000000005,0.0,-2.5,1.1,14.5,16.0
55,2017-12-08 14:55:12,144,14:54:00,14:55:12,72,HKI,ARRIVAL,Long-distance,629,03:34:01,03:20:00,4.7,1.0,5.0,0.0,-2.1,1.0,10.499999999999998,17.0
56,2017-12-08 17:53:57,146,17:54:00,17:53:57,-3,HKI,ARRIVAL,Long-distance,465,03:29:12,03:37:00,4.7,0.8,2.2,0.0,-1.3,0.8,6.099999999999999,17.0
57,2017-12-08 22:07:24,148,20:54:00,22:07:24,4404,HKI,ARRIVAL,Long-distance,4506,03:30:53,03:22:00,4.8,0.0,0.0,0.0,0.4,0.6,1.8,17.0
58,2017-12-08 08:01:34,150,07:54:00,08:01:34,454,HKI,ARRIVAL,Long-distance,78,03:32:18,03:34:00,2.6,1.3,10.000000000000002,0.0,-3.0,1.8,19.3,16.0
59,2017-12-09 08:54:23,140,08:54:00,08:54:23,23,HKI,ARRIVAL,Long-distance,17,03:33:40,03:34:00,4.5,0.0,0.0,0.0,1.6,0.2,0.4,14.0
60,2017-12-09 11:53:59,142,11:54:00,11:53:59,-1,HKI,ARRIVAL,Long-distance,29,03:34:06,03:34:00,4.5,0.0,0.0,0.0,1.6,0.1,0.1,14.0
61,2017-12-09 14:54:21,144,14:54:00,14:54:21,21,HKI,ARRIVAL,Long-distance,-25,03:40:30,03:41:00,4.3,0.1,0.1,0.0,1.6,0.1,0.2,13.0
62,2017-12-09 17:53:28,146,17:54:00,17:53:28,-32,HKI,ARRIVAL,Long-distance,47,03:41:46,03:41:00,3.5,0.1,0.1,0.0,1.6,0.1,0.2,13.0
63,2017-12-09 20:59:06,148,20:54:00,20:59:06,306,HKI,ARRIVAL,Long-distance,-12,03:35:41,03:37:00,3.0,0.1,0.1,0.0,1.3,0.1,0.2,12.0
64,2017-12-09 07:56:09,150,07:54:00,07:56:09,129,HKI,ARRIVAL,Long-distance,149,03:39:18,03:34:00,4.5,0.0,0.0,0.0,1.6,0.2,0.4,15.0
65,2017-12-10 16:34:47,86,16:35:00,16:34:47,-13,HKI,ARRIVAL,Long-distance,26,03:38:09,03:39:00,1.5,0.0,0.0,0.0,-0.8,0.0,0.0,11.0
66,2017-12-10 19:52:51,88,19:35:00,19:52:51,1071,HKI,ARRIVAL,Long-distance,-15,03:40:34,03:41:00,1.7,0.0,0.0,0.0,-1.3,0.0,0.0,11.0
67,2017-12-10 11:53:33,142,11:54:00,11:53:33,-27,HKI,ARRIVAL,Long-distance,24,03:16:21,03:17:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0
68,2017-12-10 14:53:50,144,14:54:00,14:53:50,-10,HKI,ARRIVAL,Long-distance,16,03:35:41,03:31:00,1.5,0.0,0.0,0.0,-0.1,0.0,0.0,11.0
69,2017-12-10 18:00:16,146,17:54:00,18:00:16,376,HKI,ARRIVAL,Long-distance,95,03:40:06,03:22:00,1.7,0.0,0.0,0.0,-1.3,0.0,0.0,11.0
70,2017-12-10 20:53:55,148,20:54:00,20:53:55,-5,HKI,ARRIVAL,Long-distance,-18,03:36:13,03:36:00,1.7,0.0,0.0,0.0,-1.3,0.0,0.0,11.0
71,2017-12-10 22:34:27,152,22:35:00,22:34:27,-33,HKI,ARRIVAL,Long-distance,127,03:06:20,03:09:00,1.9,0.0,0.0,0.0,-1.3,0.0,0.0,11.0
72,2017-12-11 16:46:22,86,16:35:00,16:46:22,682,HKI,ARRIVAL,Long-distance,4,03:34:05,03:34:00,0.9,0.0,0.0,0.0,-1.6,0.0,0.0,10.0
73,2017-12-11 09:00:26,140,08:54:00,09:00:26,386,HKI,ARRIVAL,Long-distance,-6,03:40:32,03:34:00,1.5,0.0,0.0,0.0,-0.8,0.0,0.0,10.0
74,2017-12-11 11:55:05,142,11:54:00,11:55:05,65,HKI,ARRIVAL,Long-distance,970,03:23:55,03:39:00,1.2,0.0,0.0,0.0,-0.8,0.0,0.0,10.0
75,2017-12-11 14:56:51,144,14:54:00,14:56:51,171,HKI,ARRIVAL,Long-distance,21,03:43:30,03:41:00,0.9,0.0,0.0,0.0,-1.4,0.0,0.0,10.0
76,2017-12-11 17:53:30,146,17:54:00,17:53:30,-30,HKI,ARRIVAL,Long-distance,-13,03:28:18,03:17:00,0.9,0.0,0.0,0.0,-1.9,0.0,0.0,10.0
77,2017-12-11 20:58:25,148,20:54:00,20:58:25,265,HKI,ARRIVAL,Long-distance,37,03:30:43,03:31:00,0.4,0.0,0.0,0.0,-3.3,0.0,0.0,10.0
78,2017-12-11 07:57:30,150,07:54:00,07:57:30,210,HKI,ARRIVAL,Long-distance,205,03:39:48,03:36:00,1.7,0.0,0.0,0.0,-0.8,0.0,0.0,10.0
79,2017-12-12 17:06:17,86,16:35:00,17:06:17,1877,HKI,ARRIVAL,Long-distance,82,03:34:56,03:34:00,0.5,3.5,28.000000000000004,4.0,-2.5,3.5,43.10000000000001,25.0
80,2017-12-12 09:00:25,140,08:54:00,09:00:25,385,HKI,ARRIVAL,Long-distance,29,03:39:56,03:34:00,0.0,2.3,6.6000000000000005,2.0,-3.8,2.3,10.000000000000002,14.0
